vowel.code	token.code	dur	step	stepSize	start.time	end.time	formant	freq	speaker
IY1	IY1-32_0	120.00	1	0.01333	0.120	0.133	F1	480.61	32
IY1	IY1-32_0	120.00	1	0.01333	0.120	0.133	F2	2021.24	32
IY1	IY1-32_0	120.00	1	0.01333	0.120	0.133	F3	2703.64	32
IY1	IY1-32_0	120.00	2	0.01333	0.133	0.147	F1	472.17	32
IY1	IY1-32_0	120.00	2	0.01333	0.133	0.147	F2	2332.73	32
IY1	IY1-32_0	120.00	2	0.01333	0.133	0.147	F3	2661.21	32
IY1	IY1-32_0	120.00	3	0.01333	0.147	0.160	F1	463.97	32
IY1	IY1-32_0	120.00	3	0.01333	0.147	0.160	F2	2565.49	32
IY1	IY1-32_0	120.00	3	0.01333	0.147	0.160	F3	2894.30	32
IY1	IY1-32_0	120.00	4	0.01333	0.160	0.173	F1	458.04	32
IY1	IY1-32_0	120.00	4	0.01333	0.160	0.173	F2	2620.29	32
IY1	IY1-32_0	120.00	4	0.01333	0.160	0.173	F3	2864.78	32
IY1	IY1-32_0	120.00	5	0.01333	0.173	0.187	F1	460.51	32
IY1	IY1-32_0	120.00	5	0.01333	0.173	0.187	F2	2645.71	32
IY1	IY1-32_0	120.00	5	0.01333	0.173	0.187	F3	2789.37	32
IY1	IY1-32_0	120.00	6	0.01333	0.187	0.200	F1	466.03	32
IY1	IY1-32_0	120.00	6	0.01333	0.187	0.200	F2	2628.61	32
IY1	IY1-32_0	120.00	6	0.01333	0.187	0.200	F3	2856.35	32
IY1	IY1-32_0	120.00	7	0.01333	0.200	0.213	F1	470.99	32
IY1	IY1-32_0	120.00	7	0.01333	0.200	0.213	F2	2586.58	32
IY1	IY1-32_0	120.00	7	0.01333	0.200	0.213	F3	2910.05	32
IY1	IY1-32_0	120.00	8	0.01333	0.213	0.227	F1	471.01	32
IY1	IY1-32_0	120.00	8	0.01333	0.213	0.227	F2	2507.77	32
IY1	IY1-32_0	120.00	8	0.01333	0.213	0.227	F3	2837.85	32
IY1	IY1-32_0	120.00	9	0.01333	0.227	0.240	F1	438.29	32
IY1	IY1-32_0	120.00	9	0.01333	0.227	0.240	F2	2329.20	32
IY1	IY1-32_0	120.00	9	0.01333	0.227	0.240	F3	2739.25	32
AA1	AA1-32_0	120.00	1	0.01333	0.430	0.443	F1	749.10	32
AA1	AA1-32_0	120.00	1	0.01333	0.430	0.443	F2	1150.63	32
AA1	AA1-32_0	120.00	1	0.01333	0.430	0.443	F3	2693.46	32
AA1	AA1-32_0	120.00	2	0.01333	0.443	0.457	F1	786.97	32
AA1	AA1-32_0	120.00	2	0.01333	0.443	0.457	F2	1211.51	32
AA1	AA1-32_0	120.00	2	0.01333	0.443	0.457	F3	2698.09	32
AA1	AA1-32_0	120.00	3	0.01333	0.457	0.470	F1	782.77	32
AA1	AA1-32_0	120.00	3	0.01333	0.457	0.470	F2	1182.95	32
AA1	AA1-32_0	120.00	3	0.01333	0.457	0.470	F3	2716.81	32
AA1	AA1-32_0	120.00	4	0.01333	0.470	0.483	F1	794.20	32
AA1	AA1-32_0	120.00	4	0.01333	0.470	0.483	F2	1163.93	32
AA1	AA1-32_0	120.00	4	0.01333	0.470	0.483	F3	2779.25	32
AA1	AA1-32_0	120.00	5	0.01333	0.483	0.497	F1	816.58	32
AA1	AA1-32_0	120.00	5	0.01333	0.483	0.497	F2	1168.97	32
AA1	AA1-32_0	120.00	5	0.01333	0.483	0.497	F3	2821.74	32
AA1	AA1-32_0	120.00	6	0.01333	0.497	0.510	F1	825.24	32
AA1	AA1-32_0	120.00	6	0.01333	0.497	0.510	F2	1170.50	32
AA1	AA1-32_0	120.00	6	0.01333	0.497	0.510	F3	2857.81	32
AA1	AA1-32_0	120.00	7	0.01333	0.510	0.523	F1	822.23	32
AA1	AA1-32_0	120.00	7	0.01333	0.510	0.523	F2	1158.39	32
AA1	AA1-32_0	120.00	7	0.01333	0.510	0.523	F3	2868.92	32
AA1	AA1-32_0	120.00	8	0.01333	0.523	0.537	F1	811.32	32
AA1	AA1-32_0	120.00	8	0.01333	0.523	0.537	F2	1157.40	32
AA1	AA1-32_0	120.00	8	0.01333	0.523	0.537	F3	2870.63	32
AA1	AA1-32_0	120.00	9	0.01333	0.537	0.550	F1	787.19	32
AA1	AA1-32_0	120.00	9	0.01333	0.537	0.550	F2	1144.40	32
AA1	AA1-32_0	120.00	9	0.01333	0.537	0.550	F3	2857.76	32
EH1	EH1-32_0	100.00	1	0.01111	0.780	0.791	F1	617.18	32
EH1	EH1-32_0	100.00	1	0.01111	0.780	0.791	F2	2065.00	32
EH1	EH1-32_0	100.00	1	0.01111	0.780	0.791	F3	2949.37	32
EH1	EH1-32_0	100.00	2	0.01111	0.791	0.802	F1	669.95	32
EH1	EH1-32_0	100.00	2	0.01111	0.791	0.802	F2	2046.69	32
EH1	EH1-32_0	100.00	2	0.01111	0.791	0.802	F3	2836.58	32
EH1	EH1-32_0	100.00	3	0.01111	0.802	0.813	F1	741.76	32
EH1	EH1-32_0	100.00	3	0.01111	0.802	0.813	F2	2000.19	32
EH1	EH1-32_0	100.00	3	0.01111	0.802	0.813	F3	2762.98	32
EH1	EH1-32_0	100.00	4	0.01111	0.813	0.824	F1	779.78	32
EH1	EH1-32_0	100.00	4	0.01111	0.813	0.824	F2	1950.42	32
EH1	EH1-32_0	100.00	4	0.01111	0.813	0.824	F3	2723.11	32
EH1	EH1-32_0	100.00	5	0.01111	0.824	0.836	F1	810.16	32
EH1	EH1-32_0	100.00	5	0.01111	0.824	0.836	F2	1858.17	32
EH1	EH1-32_0	100.00	5	0.01111	0.824	0.836	F3	2708.13	32
EH1	EH1-32_0	100.00	6	0.01111	0.836	0.847	F1	829.07	32
EH1	EH1-32_0	100.00	6	0.01111	0.836	0.847	F2	1784.19	32
EH1	EH1-32_0	100.00	6	0.01111	0.836	0.847	F3	2740.60	32
EH1	EH1-32_0	100.00	7	0.01111	0.847	0.858	F1	862.80	32
EH1	EH1-32_0	100.00	7	0.01111	0.847	0.858	F2	1717.48	32
EH1	EH1-32_0	100.00	7	0.01111	0.847	0.858	F3	2808.38	32
EH1	EH1-32_0	100.00	8	0.01111	0.858	0.869	F1	864.53	32
EH1	EH1-32_0	100.00	8	0.01111	0.858	0.869	F2	1378.59	32
EH1	EH1-32_0	100.00	8	0.01111	0.858	0.869	F3	2856.80	32
EH1	EH1-32_0	100.00	9	0.01111	0.869	0.880	F1	842.14	32
EH1	EH1-32_0	100.00	9	0.01111	0.869	0.880	F2	1257.23	32
EH1	EH1-32_0	100.00	9	0.01111	0.869	0.880	F3	2893.61	32
AH0	AH0-32_0	200.00	1	0.02222	0.930	0.952	F1	658.41	32
AH0	AH0-32_0	200.00	1	0.02222	0.930	0.952	F2	953.37	32
AH0	AH0-32_0	200.00	1	0.02222	0.930	0.952	F3	3059.73	32
AH0	AH0-32_0	200.00	2	0.02222	0.952	0.974	F1	667.76	32
AH0	AH0-32_0	200.00	2	0.02222	0.952	0.974	F2	1014.96	32
AH0	AH0-32_0	200.00	2	0.02222	0.952	0.974	F3	3080.58	32
AH0	AH0-32_0	200.00	3	0.02222	0.974	0.997	F1	716.85	32
AH0	AH0-32_0	200.00	3	0.02222	0.974	0.997	F2	1131.60	32
AH0	AH0-32_0	200.00	3	0.02222	0.974	0.997	F3	3055.83	32
AH0	AH0-32_0	200.00	4	0.02222	0.997	1.019	F1	795.08	32
AH0	AH0-32_0	200.00	4	0.02222	0.997	1.019	F2	1283.10	32
AH0	AH0-32_0	200.00	4	0.02222	0.997	1.019	F3	2997.18	32
AH0	AH0-32_0	200.00	5	0.02222	1.019	1.041	F1	834.75	32
AH0	AH0-32_0	200.00	5	0.02222	1.019	1.041	F2	1368.67	32
AH0	AH0-32_0	200.00	5	0.02222	1.019	1.041	F3	2962.39	32
AH0	AH0-32_0	200.00	6	0.02222	1.041	1.063	F1	840.44	32
AH0	AH0-32_0	200.00	6	0.02222	1.041	1.063	F2	1449.72	32
AH0	AH0-32_0	200.00	6	0.02222	1.041	1.063	F3	2973.30	32
AH0	AH0-32_0	200.00	7	0.02222	1.063	1.086	F1	838.55	32
AH0	AH0-32_0	200.00	7	0.02222	1.063	1.086	F2	1586.84	32
AH0	AH0-32_0	200.00	7	0.02222	1.063	1.086	F3	2919.19	32
AH0	AH0-32_0	200.00	8	0.02222	1.086	1.108	F1	942.83	32
AH0	AH0-32_0	200.00	8	0.02222	1.086	1.108	F2	1699.33	32
AH0	AH0-32_0	200.00	8	0.02222	1.086	1.108	F3	2956.17	32
AH0	AH0-32_0	200.00	9	0.02222	1.108	1.130	F1	898.26	32
AH0	AH0-32_0	200.00	9	0.02222	1.108	1.130	F2	1675.02	32
AH0	AH0-32_0	200.00	9	0.02222	1.108	1.130	F3	2951.87	32
AE1	AE1-32_0	130.00	1	0.01444	1.380	1.394	F1	838.33	32
AE1	AE1-32_0	130.00	1	0.01444	1.380	1.394	F2	1857.18	32
AE1	AE1-32_0	130.00	1	0.01444	1.380	1.394	F3	2794.81	32
AE1	AE1-32_0	130.00	2	0.01444	1.394	1.409	F1	749.72	32
AE1	AE1-32_0	130.00	2	0.01444	1.394	1.409	F2	1000.44	32
AE1	AE1-32_0	130.00	2	0.01444	1.394	1.409	F3	2785.98	32
AE1	AE1-32_0	130.00	3	0.01444	1.409	1.423	F1	748.63	32
AE1	AE1-32_0	130.00	3	0.01444	1.409	1.423	F2	1020.94	32
AE1	AE1-32_0	130.00	3	0.01444	1.409	1.423	F3	2776.78	32
AE1	AE1-32_0	130.00	4	0.01444	1.423	1.438	F1	756.56	32
AE1	AE1-32_0	130.00	4	0.01444	1.423	1.438	F2	1056.00	32
AE1	AE1-32_0	130.00	4	0.01444	1.423	1.438	F3	2701.76	32
AE1	AE1-32_0	130.00	5	0.01444	1.438	1.452	F1	788.73	32
AE1	AE1-32_0	130.00	5	0.01444	1.438	1.452	F2	1070.44	32
AE1	AE1-32_0	130.00	5	0.01444	1.438	1.452	F3	2726.80	32
AE1	AE1-32_0	130.00	6	0.01444	1.452	1.467	F1	850.54	32
AE1	AE1-32_0	130.00	6	0.01444	1.452	1.467	F2	1109.21	32
AE1	AE1-32_0	130.00	6	0.01444	1.452	1.467	F3	2755.45	32
AE1	AE1-32_0	130.00	7	0.01444	1.467	1.481	F1	876.61	32
AE1	AE1-32_0	130.00	7	0.01444	1.467	1.481	F2	1165.80	32
AE1	AE1-32_0	130.00	7	0.01444	1.467	1.481	F3	2767.32	32
AE1	AE1-32_0	130.00	8	0.01444	1.481	1.496	F1	840.60	32
AE1	AE1-32_0	130.00	8	0.01444	1.481	1.496	F2	1185.49	32
AE1	AE1-32_0	130.00	8	0.01444	1.481	1.496	F3	2780.70	32
AE1	AE1-32_0	130.00	9	0.01444	1.496	1.510	F1	801.04	32
AE1	AE1-32_0	130.00	9	0.01444	1.496	1.510	F2	1216.08	32
AE1	AE1-32_0	130.00	9	0.01444	1.496	1.510	F3	2762.60	32
ER0	ER0-32_0	30.00	1	0.00333	1.690	1.693	F1	439.44	32
ER0	ER0-32_0	30.00	1	0.00333	1.690	1.693	F2	1754.31	32
ER0	ER0-32_0	30.00	1	0.00333	1.690	1.693	F3	2726.18	32
ER0	ER0-32_0	30.00	2	0.00333	1.693	1.697	F1	436.72	32
ER0	ER0-32_0	30.00	2	0.00333	1.693	1.697	F2	1758.74	32
ER0	ER0-32_0	30.00	2	0.00333	1.693	1.697	F3	2796.87	32
ER0	ER0-32_0	30.00	3	0.00333	1.697	1.700	F1	433.90	32
ER0	ER0-32_0	30.00	3	0.00333	1.697	1.700	F2	1761.03	32
ER0	ER0-32_0	30.00	3	0.00333	1.697	1.700	F3	2848.38	32
ER0	ER0-32_0	30.00	4	0.00333	1.700	1.703	F1	431.09	32
ER0	ER0-32_0	30.00	4	0.00333	1.700	1.703	F2	1763.32	32
ER0	ER0-32_0	30.00	4	0.00333	1.700	1.703	F3	2899.89	32
ER0	ER0-32_0	30.00	5	0.00333	1.703	1.707	F1	427.82	32
ER0	ER0-32_0	30.00	5	0.00333	1.703	1.707	F2	1765.57	32
ER0	ER0-32_0	30.00	5	0.00333	1.703	1.707	F3	2925.04	32
ER0	ER0-32_0	30.00	6	0.00333	1.707	1.710	F1	421.85	32
ER0	ER0-32_0	30.00	6	0.00333	1.707	1.710	F2	1767.60	32
ER0	ER0-32_0	30.00	6	0.00333	1.707	1.710	F3	2791.98	32
ER0	ER0-32_0	30.00	7	0.00333	1.710	1.713	F1	415.43	32
ER0	ER0-32_0	30.00	7	0.00333	1.710	1.713	F2	1769.60	32
ER0	ER0-32_0	30.00	7	0.00333	1.710	1.713	F3	2632.56	32
ER0	ER0-32_0	30.00	8	0.00333	1.713	1.717	F1	409.02	32
ER0	ER0-32_0	30.00	8	0.00333	1.713	1.717	F2	1771.60	32
ER0	ER0-32_0	30.00	8	0.00333	1.713	1.717	F3	2473.14	32
ER0	ER0-32_0	30.00	9	0.00333	1.717	1.720	F1	398.64	32
ER0	ER0-32_0	30.00	9	0.00333	1.717	1.720	F2	1773.26	32
ER0	ER0-32_0	30.00	9	0.00333	1.717	1.720	F3	2423.66	32
AH0	AH0-32_0	30.00	1	0.00333	1.770	1.773	F1	420.72	32
AH0	AH0-32_0	30.00	1	0.00333	1.770	1.773	F2	1849.05	32
AH0	AH0-32_0	30.00	1	0.00333	1.770	1.773	F3	2871.51	32
AH0	AH0-32_0	30.00	2	0.00333	1.773	1.777	F1	419.98	32
AH0	AH0-32_0	30.00	2	0.00333	1.773	1.777	F2	1837.37	32
AH0	AH0-32_0	30.00	2	0.00333	1.773	1.777	F3	2876.83	32
AH0	AH0-32_0	30.00	3	0.00333	1.777	1.780	F1	417.82	32
AH0	AH0-32_0	30.00	3	0.00333	1.777	1.780	F2	1832.30	32
AH0	AH0-32_0	30.00	3	0.00333	1.777	1.780	F3	2898.15	32
AH0	AH0-32_0	30.00	4	0.00333	1.780	1.783	F1	415.66	32
AH0	AH0-32_0	30.00	4	0.00333	1.780	1.783	F2	1827.23	32
AH0	AH0-32_0	30.00	4	0.00333	1.780	1.783	F3	2919.46	32
AH0	AH0-32_0	30.00	5	0.00333	1.783	1.787	F1	413.73	32
AH0	AH0-32_0	30.00	5	0.00333	1.783	1.787	F2	1818.82	32
AH0	AH0-32_0	30.00	5	0.00333	1.783	1.787	F3	2938.93	32
AH0	AH0-32_0	30.00	6	0.00333	1.787	1.790	F1	413.19	32
AH0	AH0-32_0	30.00	6	0.00333	1.787	1.790	F2	1790.28	32
AH0	AH0-32_0	30.00	6	0.00333	1.787	1.790	F3	2947.31	32
AH0	AH0-32_0	30.00	7	0.00333	1.790	1.793	F1	412.87	32
AH0	AH0-32_0	30.00	7	0.00333	1.790	1.793	F2	1758.40	32
AH0	AH0-32_0	30.00	7	0.00333	1.790	1.793	F3	2953.83	32
AH0	AH0-32_0	30.00	8	0.00333	1.793	1.797	F1	412.56	32
AH0	AH0-32_0	30.00	8	0.00333	1.793	1.797	F2	1726.52	32
AH0	AH0-32_0	30.00	8	0.00333	1.793	1.797	F3	2960.35	32
AH0	AH0-32_0	30.00	9	0.00333	1.797	1.800	F1	405.66	32
AH0	AH0-32_0	30.00	9	0.00333	1.797	1.800	F2	1715.93	32
AH0	AH0-32_0	30.00	9	0.00333	1.797	1.800	F3	2957.26	32
IH1	IH1-32_0	50.00	1	0.00556	1.910	1.916	F1	535.69	32
IH1	IH1-32_0	50.00	1	0.00556	1.910	1.916	F2	1732.73	32
IH1	IH1-32_0	50.00	1	0.00556	1.910	1.916	F3	2997.53	32
IH1	IH1-32_0	50.00	2	0.00556	1.916	1.921	F1	530.38	32
IH1	IH1-32_0	50.00	2	0.00556	1.916	1.921	F2	1776.24	32
IH1	IH1-32_0	50.00	2	0.00556	1.916	1.921	F3	2921.31	32
IH1	IH1-32_0	50.00	3	0.00556	1.921	1.927	F1	522.24	32
IH1	IH1-32_0	50.00	3	0.00556	1.921	1.927	F2	1824.53	32
IH1	IH1-32_0	50.00	3	0.00556	1.921	1.927	F3	2838.43	32
IH1	IH1-32_0	50.00	4	0.00556	1.927	1.932	F1	504.37	32
IH1	IH1-32_0	50.00	4	0.00556	1.927	1.932	F2	1890.38	32
IH1	IH1-32_0	50.00	4	0.00556	1.927	1.932	F3	2737.42	32
IH1	IH1-32_0	50.00	5	0.00556	1.932	1.938	F1	484.34	32
IH1	IH1-32_0	50.00	5	0.00556	1.932	1.938	F2	1956.52	32
IH1	IH1-32_0	50.00	5	0.00556	1.932	1.938	F3	2649.83	32
IH1	IH1-32_0	50.00	6	0.00556	1.938	1.943	F1	456.58	32
IH1	IH1-32_0	50.00	6	0.00556	1.938	1.943	F2	2014.98	32
IH1	IH1-32_0	50.00	6	0.00556	1.938	1.943	F3	2652.58	32
IH1	IH1-32_0	50.00	7	0.00556	1.943	1.949	F1	428.32	32
IH1	IH1-32_0	50.00	7	0.00556	1.943	1.949	F2	2063.13	32
IH1	IH1-32_0	50.00	7	0.00556	1.943	1.949	F3	2669.07	32
IH1	IH1-32_0	50.00	8	0.00556	1.949	1.954	F1	408.79	32
IH1	IH1-32_0	50.00	8	0.00556	1.949	1.954	F2	2010.81	32
IH1	IH1-32_0	50.00	8	0.00556	1.949	1.954	F3	2670.88	32
IH1	IH1-32_0	50.00	9	0.00556	1.954	1.960	F1	392.72	32
IH1	IH1-32_0	50.00	9	0.00556	1.954	1.960	F2	1931.61	32
IH1	IH1-32_0	50.00	9	0.00556	1.954	1.960	F3	2668.92	32
IY1	IY1-32_0	70.00	1	0.00778	2.070	2.078	F1	448.65	32
IY1	IY1-32_0	70.00	1	0.00778	2.070	2.078	F2	2405.77	32
IY1	IY1-32_0	70.00	1	0.00778	2.070	2.078	F3	2660.96	32
IY1	IY1-32_0	70.00	2	0.00778	2.078	2.086	F1	451.33	32
IY1	IY1-32_0	70.00	2	0.00778	2.078	2.086	F2	2483.25	32
IY1	IY1-32_0	70.00	2	0.00778	2.078	2.086	F3	2680.13	32
IY1	IY1-32_0	70.00	3	0.00778	2.086	2.093	F1	442.55	32
IY1	IY1-32_0	70.00	3	0.00778	2.086	2.093	F2	2537.68	32
IY1	IY1-32_0	70.00	3	0.00778	2.086	2.093	F3	2711.08	32
IY1	IY1-32_0	70.00	4	0.00778	2.093	2.101	F1	419.14	32
IY1	IY1-32_0	70.00	4	0.00778	2.093	2.101	F2	2570.60	32
IY1	IY1-32_0	70.00	4	0.00778	2.093	2.101	F3	2806.10	32
IY1	IY1-32_0	70.00	5	0.00778	2.101	2.109	F1	394.72	32
IY1	IY1-32_0	70.00	5	0.00778	2.101	2.109	F2	2582.91	32
IY1	IY1-32_0	70.00	5	0.00778	2.101	2.109	F3	2932.09	32
IY1	IY1-32_0	70.00	6	0.00778	2.109	2.117	F1	375.61	32
IY1	IY1-32_0	70.00	6	0.00778	2.109	2.117	F2	2590.83	32
IY1	IY1-32_0	70.00	6	0.00778	2.109	2.117	F3	3030.98	32
IY1	IY1-32_0	70.00	7	0.00778	2.117	2.124	F1	370.74	32
IY1	IY1-32_0	70.00	7	0.00778	2.117	2.124	F2	2605.66	32
IY1	IY1-32_0	70.00	7	0.00778	2.117	2.124	F3	3030.52	32
IY1	IY1-32_0	70.00	8	0.00778	2.124	2.132	F1	371.37	32
IY1	IY1-32_0	70.00	8	0.00778	2.124	2.132	F2	2567.36	32
IY1	IY1-32_0	70.00	8	0.00778	2.124	2.132	F3	2991.37	32
IY1	IY1-32_0	70.00	9	0.00778	2.132	2.140	F1	371.14	32
IY1	IY1-32_0	70.00	9	0.00778	2.132	2.140	F2	2512.05	32
IY1	IY1-32_0	70.00	9	0.00778	2.132	2.140	F3	2950.95	32
IH1	IH1-32_0	70.00	1	0.00778	2.330	2.338	F1	453.72	32
IH1	IH1-32_0	70.00	1	0.00778	2.330	2.338	F2	2228.79	32
IH1	IH1-32_0	70.00	1	0.00778	2.330	2.338	F3	2745.09	32
IH1	IH1-32_0	70.00	2	0.00778	2.338	2.346	F1	466.16	32
IH1	IH1-32_0	70.00	2	0.00778	2.338	2.346	F2	2286.57	32
IH1	IH1-32_0	70.00	2	0.00778	2.338	2.346	F3	2706.24	32
IH1	IH1-32_0	70.00	3	0.00778	2.346	2.353	F1	476.87	32
IH1	IH1-32_0	70.00	3	0.00778	2.346	2.353	F2	2354.86	32
IH1	IH1-32_0	70.00	3	0.00778	2.346	2.353	F3	2703.13	32
IH1	IH1-32_0	70.00	4	0.00778	2.353	2.361	F1	479.10	32
IH1	IH1-32_0	70.00	4	0.00778	2.353	2.361	F2	2424.29	32
IH1	IH1-32_0	70.00	4	0.00778	2.353	2.361	F3	2729.83	32
IH1	IH1-32_0	70.00	5	0.00778	2.361	2.369	F1	468.77	32
IH1	IH1-32_0	70.00	5	0.00778	2.361	2.369	F2	2463.29	32
IH1	IH1-32_0	70.00	5	0.00778	2.361	2.369	F3	2754.51	32
IH1	IH1-32_0	70.00	6	0.00778	2.369	2.377	F1	455.05	32
IH1	IH1-32_0	70.00	6	0.00778	2.369	2.377	F2	2490.68	32
IH1	IH1-32_0	70.00	6	0.00778	2.369	2.377	F3	2771.01	32
IH1	IH1-32_0	70.00	7	0.00778	2.377	2.384	F1	445.45	32
IH1	IH1-32_0	70.00	7	0.00778	2.377	2.384	F2	2518.96	32
IH1	IH1-32_0	70.00	7	0.00778	2.377	2.384	F3	2770.36	32
IH1	IH1-32_0	70.00	8	0.00778	2.384	2.392	F1	451.18	32
IH1	IH1-32_0	70.00	8	0.00778	2.384	2.392	F2	2548.87	32
IH1	IH1-32_0	70.00	8	0.00778	2.384	2.392	F3	2792.61	32
IH1	IH1-32_0	70.00	9	0.00778	2.392	2.400	F1	458.86	32
IH1	IH1-32_0	70.00	9	0.00778	2.392	2.400	F2	2576.80	32
IH1	IH1-32_0	70.00	9	0.00778	2.392	2.400	F3	2816.97	32
IH0	IH0-32_0	60.00	1	0.00667	2.660	2.667	F1	549.79	32
IH0	IH0-32_0	60.00	1	0.00667	2.660	2.667	F2	1282.65	32
IH0	IH0-32_0	60.00	1	0.00667	2.660	2.667	F3	2717.46	32
IH0	IH0-32_0	60.00	2	0.00667	2.667	2.673	F1	567.33	32
IH0	IH0-32_0	60.00	2	0.00667	2.667	2.673	F2	1421.42	32
IH0	IH0-32_0	60.00	2	0.00667	2.667	2.673	F3	2717.65	32
IH0	IH0-32_0	60.00	3	0.00667	2.673	2.680	F1	580.48	32
IH0	IH0-32_0	60.00	3	0.00667	2.673	2.680	F2	1562.09	32
IH0	IH0-32_0	60.00	3	0.00667	2.673	2.680	F3	2717.77	32
IH0	IH0-32_0	60.00	4	0.00667	2.680	2.687	F1	591.13	32
IH0	IH0-32_0	60.00	4	0.00667	2.680	2.687	F2	1695.49	32
IH0	IH0-32_0	60.00	4	0.00667	2.680	2.687	F3	2719.51	32
IH0	IH0-32_0	60.00	5	0.00667	2.687	2.693	F1	600.19	32
IH0	IH0-32_0	60.00	5	0.00667	2.687	2.693	F2	1749.13	32
IH0	IH0-32_0	60.00	5	0.00667	2.687	2.693	F3	2737.51	32
IH0	IH0-32_0	60.00	6	0.00667	2.693	2.700	F1	607.84	32
IH0	IH0-32_0	60.00	6	0.00667	2.693	2.700	F2	1803.42	32
IH0	IH0-32_0	60.00	6	0.00667	2.693	2.700	F3	2761.68	32
IH0	IH0-32_0	60.00	7	0.00667	2.700	2.707	F1	611.43	32
IH0	IH0-32_0	60.00	7	0.00667	2.700	2.707	F2	1940.05	32
IH0	IH0-32_0	60.00	7	0.00667	2.700	2.707	F3	2794.11	32
IH0	IH0-32_0	60.00	8	0.00667	2.707	2.713	F1	616.59	32
IH0	IH0-32_0	60.00	8	0.00667	2.707	2.713	F2	2028.44	32
IH0	IH0-32_0	60.00	8	0.00667	2.707	2.713	F3	2821.91	32
IH0	IH0-32_0	60.00	9	0.00667	2.713	2.720	F1	625.51	32
IH0	IH0-32_0	60.00	9	0.00667	2.713	2.720	F2	2010.39	32
IH0	IH0-32_0	60.00	9	0.00667	2.713	2.720	F3	2839.41	32
ER0	ER0-32_0	160.00	1	0.01778	2.830	2.848	F1	619.99	32
ER0	ER0-32_0	160.00	1	0.01778	2.830	2.848	F2	1905.94	32
ER0	ER0-32_0	160.00	1	0.01778	2.830	2.848	F3	2669.93	32
ER0	ER0-32_0	160.00	2	0.01778	2.848	2.866	F1	618.48	32
ER0	ER0-32_0	160.00	2	0.01778	2.848	2.866	F2	1839.66	32
ER0	ER0-32_0	160.00	2	0.01778	2.848	2.866	F3	2756.13	32
ER0	ER0-32_0	160.00	3	0.01778	2.866	2.883	F1	603.39	32
ER0	ER0-32_0	160.00	3	0.01778	2.866	2.883	F2	1731.76	32
ER0	ER0-32_0	160.00	3	0.01778	2.866	2.883	F3	2893.34	32
ER0	ER0-32_0	160.00	4	0.01778	2.883	2.901	F1	595.96	32
ER0	ER0-32_0	160.00	4	0.01778	2.883	2.901	F2	1598.10	32
ER0	ER0-32_0	160.00	4	0.01778	2.883	2.901	F3	2996.41	32
ER0	ER0-32_0	160.00	5	0.01778	2.901	2.919	F1	592.82	32
ER0	ER0-32_0	160.00	5	0.01778	2.901	2.919	F2	1533.05	32
ER0	ER0-32_0	160.00	5	0.01778	2.901	2.919	F3	2977.43	32
ER0	ER0-32_0	160.00	6	0.01778	2.919	2.937	F1	594.80	32
ER0	ER0-32_0	160.00	6	0.01778	2.919	2.937	F2	1678.98	32
ER0	ER0-32_0	160.00	6	0.01778	2.919	2.937	F3	2948.26	32
ER0	ER0-32_0	160.00	7	0.01778	2.937	2.954	F1	591.69	32
ER0	ER0-32_0	160.00	7	0.01778	2.937	2.954	F2	1691.09	32
ER0	ER0-32_0	160.00	7	0.01778	2.937	2.954	F3	2824.13	32
ER0	ER0-32_0	160.00	8	0.01778	2.954	2.972	F1	560.58	32
ER0	ER0-32_0	160.00	8	0.01778	2.954	2.972	F2	1637.30	32
ER0	ER0-32_0	160.00	8	0.01778	2.954	2.972	F3	2488.66	32
ER0	ER0-32_0	160.00	9	0.01778	2.972	2.990	F1	545.51	32
ER0	ER0-32_0	160.00	9	0.01778	2.972	2.990	F2	1632.41	32
ER0	ER0-32_0	160.00	9	0.01778	2.972	2.990	F3	2715.38	32
ER0	ER0-32_0	50.00	1	0.00556	3.090	3.096	F1	578.34	32
ER0	ER0-32_0	50.00	1	0.00556	3.090	3.096	F2	1148.83	32
ER0	ER0-32_0	50.00	1	0.00556	3.090	3.096	F3	2806.42	32
ER0	ER0-32_0	50.00	2	0.00556	3.096	3.101	F1	586.97	32
ER0	ER0-32_0	50.00	2	0.00556	3.096	3.101	F2	1161.66	32
ER0	ER0-32_0	50.00	2	0.00556	3.096	3.101	F3	2349.36	32
ER0	ER0-32_0	50.00	3	0.00556	3.101	3.107	F1	594.47	32
ER0	ER0-32_0	50.00	3	0.00556	3.101	3.107	F2	1175.05	32
ER0	ER0-32_0	50.00	3	0.00556	3.101	3.107	F3	1981.62	32
ER0	ER0-32_0	50.00	4	0.00556	3.107	3.112	F1	597.33	32
ER0	ER0-32_0	50.00	4	0.00556	3.107	3.112	F2	1185.73	32
ER0	ER0-32_0	50.00	4	0.00556	3.107	3.112	F3	1994.04	32
ER0	ER0-32_0	50.00	5	0.00556	3.112	3.118	F1	597.77	32
ER0	ER0-32_0	50.00	5	0.00556	3.112	3.118	F2	1201.34	32
ER0	ER0-32_0	50.00	5	0.00556	3.112	3.118	F3	2040.40	32
ER0	ER0-32_0	50.00	6	0.00556	3.118	3.123	F1	586.24	32
ER0	ER0-32_0	50.00	6	0.00556	3.118	3.123	F2	1248.00	32
ER0	ER0-32_0	50.00	6	0.00556	3.118	3.123	F3	2085.36	32
ER0	ER0-32_0	50.00	7	0.00556	3.123	3.129	F1	572.03	32
